Date,Day_of_Week,Session_Type,Is_Matchday
2026-01-01,Thursday,Training,0
2026-01-02,Friday,Training,0
2026-01-03,Saturday,League Match,1
2026-01-04,Sunday,Training,0
2026-01-05,Monday,Training,0
2026-01-06,Tuesday,Training,0
2026-01-07,Wednesday,Training,0
2026-01-08,Thursday,Training,0
2026-01-09,Friday,Training,0
2026-01-10,Saturday,League Match,1
2026-01-11,Sunday,Training,0
2026-01-12,Monday,Training,0
2026-01-13,Tuesday,Training,0
2026-01-14,Wednesday,Training,0
2026-01-15,Thursday,Training,0
2026-01-16,Friday,Training,0
2026-01-17,Saturday,League Match,1
2026-01-18,Sunday,Training,0
2026-01-19,Monday,Training,0
2026-01-20,Tuesday,Training,0
2026-01-21,Wednesday,Training,0
2026-01-22,Thursday,Training,0
2026-01-23,Friday,Training,0
2026-01-24,Saturday,League Match,1
2026-01-25,Sunday,Training,0
2026-01-26,Monday,Training,0
2026-01-27,Tuesday,Training,0
2026-01-28,Wednesday,Training,0
2026-01-29,Thursday,Training,0
2026-01-30,Friday,Training,0
2026-01-31,Saturday,League Match,1
2026-02-01,Sunday,Training,0
2026-02-02,Monday,Training,0
2026-02-03,Tuesday,Training,0
2026-02-04,Wednesday,Training,0
2026-02-05,Thursday,Training,0
2026-02-06,Friday,Training,0
2026-02-07,Saturday,League Match,1
2026-02-08,Sunday,Training,0
2026-02-09,Monday,Training,0
2026-02-10,Tuesday,Training,0
2026-02-11,Wednesday,Training,0
2026-02-12,Thursday,Training,0
2026-02-13,Friday,Training,0
2026-02-14,Saturday,League Match,1
2026-02-15,Sunday,Training,0
2026-02-16,Monday,Training,0
2026-02-17,Tuesday,Training,0
2026-02-18,Wednesday,Training,0
2026-02-19,Thursday,Training,0
2026-02-20,Friday,Training,0
2026-02-21,Saturday,League Match,1
2026-02-22,Sunday,Training,0
2026-02-23,Monday,Training,0
2026-02-24,Tuesday,Training,0
2026-02-25,Wednesday,Training,0
2026-02-26,Thursday,Training,0
2026-02-27,Friday,Training,0
2026-02-28,Saturday,League Match,1
2026-03-01,Sunday,Training,0
2026-03-02,Monday,Training,0
2026-03-03,Tuesday,Training,0
2026-03-04,Wednesday,Training,0
2026-03-05,Thursday,Training,0
2026-03-06,Friday,Training,0
2026-03-07,Saturday,League Match,1
2026-03-08,Sunday,Training,0
2026-03-09,Monday,Training,0
2026-03-10,Tuesday,Training,0
2026-03-11,Wednesday,Training,0
2026-03-12,Thursday,Training,0
2026-03-13,Friday,Training,0
2026-03-14,Saturday,League Match,1
2026-03-15,Sunday,Training,0
2026-03-16,Monday,Training,0
2026-03-17,Tuesday,Training,0
2026-03-18,Wednesday,Training,0
2026-03-19,Thursday,Training,0
2026-03-20,Friday,Training,0
2026-03-21,Saturday,League Match,1
2026-03-22,Sunday,Training,0
2026-03-23,Monday,Training,0
2026-03-24,Tuesday,Training,0
2026-03-25,Wednesday,Training,0
2026-03-26,Thursday,Training,0
2026-03-27,Friday,Training,0
2026-03-28,Saturday,League Match,1
2026-03-29,Sunday,Training,0
2026-03-30,Monday,Training,0
2026-03-31,Tuesday,Training,0
