Player_ID,Player_Name,Position,Age,Weight_kg
P001,Athlete P001,Defender,32,80
P002,Athlete P002,Midfielder,24,88
P003,Athlete P003,Goalkeeper,28,93
P004,Athlete P004,Defender,25,93
P005,Athlete P005,Midfielder,19,93
P006,Athlete P006,Forward,23,71
P007,Athlete P007,Defender,18,81
P008,Athlete P008,Midfielder,29,94
P009,Athlete P009,Defender,27,85
P010,Athlete P010,Defender,32,88
P011,Athlete P011,Defender,20,74
P012,Athlete P012,Midfielder,26,76
P013,Athlete P013,Goalkeeper,31,87
P014,Athlete P014,Defender,19,89
P015,Athlete P015,Defender,24,81
P016,Athlete P016,Midfielder,32,72
P017,Athlete P017,Forward,21,87
P018,Athlete P018,Midfielder,19,75
P019,Athlete P019,Defender,21,91
