Player_ID,Date,Total_Distance_m,High_Speed_Running_m,Sprint_Distance_m,Injury_Occurred
P001,2026-01-01,8926,1161,421,0
P001,2026-01-02,8782,897,427,0
P001,2026-01-03,10284,826,323,0
P001,2026-01-04,8438,827,293,0
P001,2026-01-05,6263,450,212,0
P001,2026-01-06,7614,1061,178,0
P001,2026-01-07,7015,1407,246,0
P001,2026-01-08,9235,540,214,0
P001,2026-01-09,9300,622,306,0
P001,2026-01-10,8232,880,208,0
P001,2026-01-11,11912,963,163,0
P001,2026-01-12,10367,601,290,0
P001,2026-01-13,6194,569,288,0
P001,2026-01-14,10241,1018,257,0
P001,2026-01-15,8682,523,197,0
P001,2026-01-16,8442,1284,303,0
P001,2026-01-17,6489,1064,230,0
P001,2026-01-18,8118,1151,372,0
P001,2026-01-19,10530,715,238,0
P001,2026-01-20,9630,1260,221,0
P001,2026-01-21,8855,635,149,0
P001,2026-01-22,10352,1374,261,0
P001,2026-01-23,10639,1076,204,0
P001,2026-01-24,9675,1428,265,0
P001,2026-01-25,11480,181,351,0
P001,2026-01-26,9264,877,278,0
P001,2026-01-27,6152,901,304,0
P001,2026-01-28,11350,812,188,0
P001,2026-01-29,8381,1242,302,0
P001,2026-01-30,8339,1121,278,0
P001,2026-01-31,10586,756,236,0
P001,2026-02-01,8545,528,298,0
P001,2026-02-02,9525,969,245,0
P001,2026-02-03,7010,841,234,0
P001,2026-02-04,7930,919,309,0
P001,2026-02-05,11963,1019,294,0
P001,2026-02-06,9022,391,266,0
P001,2026-02-07,9224,1706,249,0
P001,2026-02-08,9586,957,152,0
P001,2026-02-09,10848,1193,348,0
P001,2026-02-10,7769,1388,128,0
P001,2026-02-11,10014,1624,170,0
P001,2026-02-12,8284,997,218,0
P001,2026-02-13,6807,988,162,0
P001,2026-02-14,9844,691,424,0
P001,2026-02-15,7958,870,350,0
P001,2026-02-16,7287,1035,399,0
P001,2026-02-17,6722,1022,295,0
P001,2026-02-18,10306,596,137,0
P001,2026-02-19,9916,1056,294,0
P001,2026-02-20,9653,763,292,0
P001,2026-02-21,9573,753,455,1
P001,2026-02-22,9844,610,334,0
P001,2026-02-23,7671,1203,384,0
P001,2026-02-24,7902,1256,310,0
P001,2026-02-25,10366,1536,244,0
P001,2026-02-26,8003,700,187,0
P001,2026-02-27,9018,1069,296,0
P001,2026-02-28,10374,971,414,0
P001,2026-03-01,8736,1783,331,0
P001,2026-03-02,7848,646,317,0
P001,2026-03-03,8798,1181,316,0
P001,2026-03-04,9024,713,117,0
P001,2026-03-05,8464,1224,290,0
P001,2026-03-06,7265,1019,307,0
P001,2026-03-07,7808,1013,274,0
P001,2026-03-08,7419,1074,325,0
P001,2026-03-09,10758,1283,131,0
P001,2026-03-10,7727,1122,320,0
P001,2026-03-11,9906,2123,326,0
P001,2026-03-12,10837,1253,334,0
P001,2026-03-13,8660,1195,191,0
P001,2026-03-14,8778,821,277,0
P001,2026-03-15,12605,407,337,0
P001,2026-03-16,6714,825,378,0
P001,2026-03-17,9230,644,197,0
P001,2026-03-18,10153,748,290,0
P001,2026-03-19,9202,772,483,0
P001,2026-03-20,10084,360,287,0
P001,2026-03-21,8141,1223,189,0
P001,2026-03-22,8961,1119,355,0
P001,2026-03-23,7333,867,221,0
P001,2026-03-24,8153,1497,309,0
P001,2026-03-25,7242,1242,481,0
P001,2026-03-26,10682,511,220,0
P001,2026-03-27,11034,755,313,0
P001,2026-03-28,10295,689,263,0
P001,2026-03-29,4271,660,243,0
P001,2026-03-30,7262,1457,126,0
P001,2026-03-31,8473,1006,413,0
P002,2026-01-01,8414,709,98,0
P002,2026-01-02,7362,766,136,0
P002,2026-01-03,6774,591,208,0
P002,2026-01-04,7662,1182,72,0
P002,2026-01-05,9869,121,181,0
P002,2026-01-06,7552,790,134,0
P002,2026-01-07,6357,558,137,0
P002,2026-01-08,7944,813,127,0
P002,2026-01-09,8019,798,277,0
P002,2026-01-10,7614,457,140,0
P002,2026-01-11,7790,889,194,0
P002,2026-01-12,6845,1089,137,0
P002,2026-01-13,7490,646,174,0
P002,2026-01-14,8317,954,278,0
P002,2026-01-15,8627,712,264,0
P002,2026-01-16,6204,803,183,0
P002,2026-01-17,6815,885,114,0
P002,2026-01-18,9808,404,75,0
P002,2026-01-19,8406,944,259,0
P002,2026-01-20,7612,702,106,0
P002,2026-01-21,6783,503,294,0
P002,2026-01-22,6449,459,164,0
P002,2026-01-23,7289,537,114,0
P002,2026-01-24,7035,780,145,0
P002,2026-01-25,5963,776,51,0
P002,2026-01-26,4558,491,175,0
P002,2026-01-27,7136,1149,282,0
P002,2026-01-28,6429,700,96,0
P002,2026-01-29,6642,620,228,0
P002,2026-01-30,5428,862,349,0
P002,2026-01-31,6506,827,265,0
P002,2026-02-01,6067,773,197,0
P002,2026-02-02,6816,474,199,0
P002,2026-02-03,7416,1142,292,0
P002,2026-02-04,9899,476,283,0
P002,2026-02-05,6944,1363,115,0
P002,2026-02-06,5410,526,20,0
P002,2026-02-07,5881,478,211,0
P002,2026-02-08,7182,1269,291,0
P002,2026-02-09,5804,437,245,0
P002,2026-02-10,4689,1256,314,0
P002,2026-02-11,5966,192,332,0
P002,2026-02-12,6497,1078,37,0
P002,2026-02-13,5770,708,201,0
P002,2026-02-14,5994,893,89,0
P002,2026-02-15,6456,742,248,0
P002,2026-02-16,7737,369,43,0
P002,2026-02-17,8586,806,121,0
P002,2026-02-18,8996,741,314,0
P002,2026-02-19,6771,1324,372,0
P002,2026-02-20,6296,998,261,0
P002,2026-02-21,8722,417,265,0
P002,2026-02-22,8257,179,78,0
P002,2026-02-23,3610,625,268,0
P002,2026-02-24,8923,728,359,0
P002,2026-02-25,4599,195,191,0
P002,2026-02-26,7245,696,20,0
P002,2026-02-27,6536,315,263,0
P002,2026-02-28,7219,424,145,0
P002,2026-03-01,5080,687,292,0
P002,2026-03-02,5191,857,143,0
P002,2026-03-03,5480,674,93,0
P002,2026-03-04,5839,347,393,0
P002,2026-03-05,6722,496,218,0
P002,2026-03-06,6501,640,258,0
P002,2026-03-07,7806,547,139,0
P002,2026-03-08,6257,100,45,0
P002,2026-03-09,8720,1200,171,0
P002,2026-03-10,7534,800,504,0
